NEON Imaging Spectrometer (NIS) instrument specifications,,,,
Band,BandCent,BCentNM,FWHM,FWHMnm
378,2.27079,2270.79,0.00577,5.77
379,2.2758,2275.8,0.00577,5.77
380,2.28081,2280.81,0.00577,5.77
381,2.28582,2285.82,0.00577,5.77
382,2.29083,2290.83,0.00577,5.77
383,2.29584,2295.84,0.00577,5.77
384,2.30084,2300.84,0.00577,5.77
385,2.30586,2305.86,0.00577,5.77
386,2.31086,2310.86,0.00577,5.77
387,2.31587,2315.87,0.00577,5.77
388,2.32088,2320.88,0.00577,5.77
389,2.32589,2325.89,0.00577,5.77
390,2.3309,2330.9,0.00577,5.77
391,2.33591,2335.91,0.00577,5.77
392,2.34092,2340.92,0.00577,5.77
393,2.34593,2345.93,0.00577,5.77
394,2.35094,2350.94,0.00577,5.77
395,2.35595,2355.95,0.00577,5.77
396,2.36096,2360.96,0.00577,5.77
397,2.36597,2365.97,0.00577,5.77
398,2.37098,2370.98,0.00577,5.77
399,2.37599,2375.99,0.00577,5.77
400,2.381,2381,0.00577,5.77
401,2.386,2386,0.00576,5.76
402,2.39101,2391.01,0.00576,5.76
403,2.39602,2396.02,0.00576,5.76
404,2.40103,2401.03,0.00576,5.76
405,2.40604,2406.04,0.00576,5.76
406,2.41105,2411.05,0.00576,5.76
407,2.41606,2416.06,0.00576,5.76
408,2.42107,2421.07,0.00576,5.76
409,2.42608,2426.08,0.00576,5.76
410,2.43109,2431.09,0.00576,5.76
411,2.4361,2436.1,0.00576,5.76
412,2.44111,2441.11,0.00575,5.75
413,2.44612,2446.12,0.00575,5.75
414,2.45112,2451.12,0.00575,5.75
415,2.45614,2456.14,0.00575,5.75
416,2.46114,2461.14,0.00575,5.75
417,2.46615,2466.15,0.00575,5.75
418,2.47116,2471.16,0.00575,5.75
419,2.47617,2476.17,0.00575,5.75
420,2.48118,2481.18,0.00575,5.75
421,2.48619,2486.19,0.00574,5.74
422,2.4912,2491.2,0.00574,5.74
423,2.49621,2496.21,0.00574,5.74
424,2.50122,2501.22,0.00574,5.74
425,2.50623,2506.23,0.00574,5.74
426,2.51124,2511.24,0.00574,5.74
